epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.79251,2.86888,3.62827,1.80863,0.01778,0.30769,0.00836,0.00242,2.39728,3.4523,1.30543,4e-05,4e-05,4e-05
2,14.6503,2.81494,3.52734,1.75178,0.02111,0.36538,0.01515,0.00396,2.31566,3.44631,1.27326,9.802e-05,9.802e-05,9.802e-05
3,20.4689,2.41712,3.27635,1.47879,0.02333,0.40385,0.01963,0.00548,2.36144,3.44907,1.27926,0.000153664,0.000153664,0.000153664
4,26.5005,2.49311,3.12365,1.48272,0.02444,0.42308,0.02405,0.00964,2.54129,3.41693,1.28775,0.000206932,0.000206932,0.000206932
5,31.8771,2.20141,2.68372,1.36128,0.02444,0.42308,0.03467,0.01035,2.71034,3.38896,1.35007,0.000257824,0.000257824,0.000257824
6,37.293,2.32112,2.41231,1.38786,0.02556,0.44231,0.03995,0.01022,2.65695,3.35275,1.39651,0.00030634,0.00030634,0.00030634
7,43.1003,2.28655,2.19959,1.29057,0.02889,0.5,0.02481,0.01089,2.4903,3.25917,1.37678,0.00035248,0.00035248,0.00035248
8,48.4421,2.10677,1.96122,1.2918,0.02889,0.5,0.08309,0.03493,2.39371,3.11871,1.30539,0.000396244,0.000396244,0.000396244
9,53.827,2.23984,1.78055,1.31169,0.02889,0.5,0.08309,0.03493,2.39371,3.11871,1.30539,0.000437632,0.000437632,0.000437632
10,59.2251,2.04319,1.63024,1.19636,0.03444,0.59615,0.27423,0.10444,2.3891,2.94833,1.28587,0.000476644,0.000476644,0.000476644
11,64.3753,2.08188,1.79955,1.28454,0.03444,0.59615,0.27423,0.10444,2.3891,2.94833,1.28587,0.00051328,0.00051328,0.00051328
12,69.8951,2.12895,1.9533,1.32872,0.03444,0.59615,0.33251,0.12171,2.38056,2.72555,1.25478,0.00054754,0.00054754,0.00054754
13,75.1371,2.09071,1.59146,1.27553,0.03444,0.59615,0.33251,0.12171,2.38056,2.72555,1.25478,0.000579424,0.000579424,0.000579424
14,80.592,2.06622,1.55078,1.22983,0.92644,0.24252,0.3376,0.11967,2.39492,2.5291,1.27219,0.000608932,0.000608932,0.000608932
15,85.9001,2.01593,1.48823,1.18886,0.92644,0.24252,0.3376,0.11967,2.39492,2.5291,1.27219,0.000636064,0.000636064,0.000636064
16,91.1895,2.05347,1.45697,1.26115,0.92644,0.24252,0.3376,0.11967,2.39492,2.5291,1.27219,0.00066082,0.00066082,0.00066082
17,96.5134,2.24358,1.69905,1.25138,1,0.09427,0.30501,0.11038,2.47699,2.43995,1.28646,0.0006832,0.0006832,0.0006832
18,101.835,2.0965,1.60783,1.30673,1,0.09427,0.30501,0.11038,2.47699,2.43995,1.28646,0.000703204,0.000703204,0.000703204
19,107.067,2.04316,1.51602,1.20569,1,0.09427,0.30501,0.11038,2.47699,2.43995,1.28646,0.000720832,0.000720832,0.000720832
20,112.272,2.02991,1.45902,1.19332,0.66885,0.07692,0.23489,0.06668,2.71252,2.46095,1.32615,0.000736084,0.000736084,0.000736084
21,117.453,2.04556,1.53727,1.15856,0.66885,0.07692,0.23489,0.06668,2.71252,2.46095,1.32615,0.00074896,0.00074896,0.00074896
22,122.754,2.11488,1.5616,1.18806,0.66885,0.07692,0.23489,0.06668,2.71252,2.46095,1.32615,0.00075946,0.00075946,0.00075946
23,127.932,1.97454,1.56997,1.23469,0.66885,0.07692,0.23489,0.06668,2.71252,2.46095,1.32615,0.000767584,0.000767584,0.000767584
24,133.415,2.04788,1.6268,1.21882,0.77304,0.21154,0.30468,0.10035,2.5108,2.24997,1.3189,0.000773332,0.000773332,0.000773332
25,138.586,1.97131,1.52496,1.28392,0.77304,0.21154,0.30468,0.10035,2.5108,2.24997,1.3189,0.000776704,0.000776704,0.000776704
26,143.811,1.90317,1.41814,1.21069,0.77304,0.21154,0.30468,0.10035,2.5108,2.24997,1.3189,0.0007777,0.0007777,0.0007777
27,149.059,2.04771,1.42477,1.2031,0.77304,0.21154,0.30468,0.10035,2.5108,2.24997,1.3189,0.00077632,0.00077632,0.00077632
28,154.598,2.02983,1.38796,1.18157,0.77304,0.21154,0.30468,0.10035,2.5108,2.24997,1.3189,0.000772564,0.000772564,0.000772564
29,160.28,1.88598,1.50439,1.18676,0.65776,0.25895,0.39969,0.14897,2.34078,1.89929,1.38752,0.000766432,0.000766432,0.000766432
30,165.489,1.9473,1.38425,1.25909,0.65776,0.25895,0.39969,0.14897,2.34078,1.89929,1.38752,0.000757924,0.000757924,0.000757924
31,170.771,2.06521,1.40734,1.2452,0.65776,0.25895,0.39969,0.14897,2.34078,1.89929,1.38752,0.00074704,0.00074704,0.00074704
32,176.232,2.14975,1.45549,1.29639,0.65776,0.25895,0.39969,0.14897,2.34078,1.89929,1.38752,0.00073378,0.00073378,0.00073378
33,181.369,2.18115,1.52792,1.27203,0.65776,0.25895,0.39969,0.14897,2.34078,1.89929,1.38752,0.000718144,0.000718144,0.000718144
34,186.712,2.21217,1.43189,1.28842,0.62302,0.30769,0.43212,0.17467,2.27158,1.73602,1.35189,0.0006932,0.0006932,0.0006932
35,191.998,1.88622,1.85261,1.22757,0.62302,0.30769,0.43212,0.17467,2.27158,1.73602,1.35189,0.0006536,0.0006536,0.0006536
36,197.639,1.90857,1.45452,1.26518,0.62302,0.30769,0.43212,0.17467,2.27158,1.73602,1.35189,0.000614,0.000614,0.000614
37,204.937,1.96997,1.26545,1.16384,0.62302,0.30769,0.43212,0.17467,2.27158,1.73602,1.35189,0.0005744,0.0005744,0.0005744
38,219.151,1.98822,1.39308,1.25962,0.62302,0.30769,0.43212,0.17467,2.27158,1.73602,1.35189,0.0005348,0.0005348,0.0005348
39,236.396,1.93859,1.40516,1.24048,0.62302,0.30769,0.43212,0.17467,2.27158,1.73602,1.35189,0.0004952,0.0004952,0.0004952
40,250.926,2.05639,1.45122,1.24294,0.61873,0.32692,0.42934,0.19053,2.23407,1.65061,1.32286,0.0004556,0.0004556,0.0004556
41,265.842,1.81036,1.33201,1.25316,0.61873,0.32692,0.42934,0.19053,2.23407,1.65061,1.32286,0.000416,0.000416,0.000416
42,280.484,1.88449,1.40652,1.19503,0.61873,0.32692,0.42934,0.19053,2.23407,1.65061,1.32286,0.0003764,0.0003764,0.0003764
43,294.885,1.82984,1.39605,1.18173,0.61873,0.32692,0.42934,0.19053,2.23407,1.65061,1.32286,0.0003368,0.0003368,0.0003368
44,309.351,1.88153,1.39031,1.2056,0.61873,0.32692,0.42934,0.19053,2.23407,1.65061,1.32286,0.0002972,0.0002972,0.0002972
45,317.388,1.84538,1.34907,1.26135,0.64203,0.36538,0.4449,0.18155,2.22983,1.55712,1.34208,0.0002576,0.0002576,0.0002576
46,323.339,1.83932,1.3459,1.18381,0.64203,0.36538,0.4449,0.18155,2.22983,1.55712,1.34208,0.000218,0.000218,0.000218
47,328.51,1.94139,1.3856,1.21882,0.64203,0.36538,0.4449,0.18155,2.22983,1.55712,1.34208,0.0001784,0.0001784,0.0001784
48,333.664,1.80418,1.32796,1.1771,0.64203,0.36538,0.4449,0.18155,2.22983,1.55712,1.34208,0.0001388,0.0001388,0.0001388
49,338.759,1.82895,1.42005,1.19939,0.64203,0.36538,0.4449,0.18155,2.22983,1.55712,1.34208,9.92e-05,9.92e-05,9.92e-05
50,344.133,1.77962,1.33459,1.2067,0.63586,0.34615,0.45487,0.18349,2.21495,1.49791,1.35674,5.96e-05,5.96e-05,5.96e-05
